,GENE,POS
3721,ENSG00000143198,"[165600098, 165631033]"
1456,ENSG00000132128,"[46726868, 46769280]"
1857,ENSG00000116678,"[65886248, 66107242]"
2407,ENSG00000224613,"[103960701, 104068105]"
4881,ENSG00000181873,"[228353516, 228369958]"
2048,ENSG00000225598,"[80839049, 80840306]"
5170,ENSG00000252084,"[242351949, 242352091]"
1342,ENSG00000186973,"[43610824, 43622067]"
4852,ENSG00000232864,"[227598318, 227599020]"
921,ENSG00000117751,"[28157289, 28178187]"
3682,ENSG00000132196,"[162760492, 162782607]"
3069,ENSG00000266187,"[150183930, 150184221]"
187,ENSG00000142611,"[2985732, 3355185]"
1533,ENSG00000233595,"[50482764, 50483175]"
5174,ENSG00000213690,"[242540225, 242540734]"
1669,ENSG00000225183,"[54555529, 54555766]"
1987,ENSG00000057468,"[76262567, 76378923]"
4515,ENSG00000224462,"[207338841, 207357255]"
3741,ENSG00000215835,"[166244866, 166246834]"
3211,ENSG00000172155,"[152769227, 152770657]"
4553,ENSG00000236136,"[209917718, 209918559]"
4161,ENSG00000273129,"[186649754, 186650578]"
2351,ENSG00000261254,"[100496122, 100501188]"
1784,ENSG00000132849,"[62208149, 62629592]"
2032,ENSG00000227556,"[78782841, 78782947]"
4281,ENSG00000228530,"[199846106, 199846686]"
1552,ENSG00000204006,"[51567906, 51613752]"
1953,ENSG00000233973,"[73771853, 73820934]"
5321,ENSG00000162727,"[248308450, 248309388]"
236,ENSG00000097021,"[6324329, 6454451]"
3183,ENSG00000237975,"[152140601, 152339163]"
3888,ENSG00000135845,"[172339329, 172413230]"
311,ENSG00000234546,"[9242263, 9252148]"
3552,ENSG00000256029,"[159827690, 159842843]"
2993,ENSG00000175658,"[148900615, 148903715]"
2989,ENSG00000235887,"[148852393, 148853717]"
3839,ENSG00000226967,"[170338364, 170339508]"
2347,ENSG00000228084,"[100433939, 100435420]"
2023,ENSG00000137960,"[78445226, 78604133]"
3500,ENSG00000231434,"[158493462, 158495628]"
607,ENSG00000169991,"[19230775, 19283180]"
846,ENSG00000142669,"[26605667, 26608007]"
1768,ENSG00000134716,"[60358980, 60392462]"
4054,ENSG00000153029,"[181003067, 181031074]"
3080,ENSG00000163125,"[150335567, 150449042]"
4214,ENSG00000223075,"[192844816, 192845115]"
4496,ENSG00000162889,"[206858289, 206907628]"
4097,ENSG00000224468,"[183107537, 183110417]"
3159,ENSG00000249602,"[151735860, 151741977]"
1304,ENSG00000127129,"[41944446, 41950344]"
563,ENSG00000207389,"[17067011, 17067174]"
418,ENSG00000188984,"[12776118, 12788726]"
3205,ENSG00000198854,"[152691998, 152692905]"
5002,ENSG00000212916,"[232940643, 232946092]"
1918,ENSG00000237919,"[70479665, 70496905]"
3037,ENSG00000223759,"[149672997, 149677289]"
4505,ENSG00000226945,"[207080964, 207081574]"
4731,ENSG00000227925,"[222001008, 222014008]"
2054,ENSG00000227937,"[81546475, 81546856]"
437,ENSG00000270601,"[13108842, 13112679]"
518,ENSG00000116809,"[16268364, 16302627]"
3259,ENSG00000271853,"[153598808, 153606816]"
1020,ENSG00000223907,"[31984036, 31989846]"
1783,ENSG00000271200,"[62207670, 62208096]"
993,ENSG00000186056,"[31191351, 31199674]"
2369,ENSG00000234332,"[100858589, 100859582]"
4187,ENSG00000230987,"[189958700, 189962227]"
4232,ENSG00000231714,"[194320073, 194321556]"
2961,ENSG00000225871,"[147907215, 147909036]"
5175,ENSG00000270859,"[242834442, 242834878]"
2881,ENSG00000117262,"[145764411, 145827103]"
2331,ENSG00000221777,"[98838941, 98839055]"
3900,ENSG00000117586,"[173152873, 173176452]"
2252,ENSG00000230439,"[94218480, 94241000]"
534,ENSG00000237276,"[16542404, 16554522]"
3773,ENSG00000231029,"[167560629, 167561083]"
1828,ENSG00000185483,"[64239693, 64647181]"
4484,ENSG00000229509,"[206506678, 206506789]"
5220,ENSG00000252282,"[245186317, 245186420]"
3026,ENSG00000269501,"[149575482, 149616786]"
2800,ENSG00000230850,"[143119061, 143233417]"
4583,ENSG00000261314,"[211756357, 211757067]"
175,ENSG00000157873,"[2487078, 2496821]"
4195,ENSG00000228020,"[191115155, 191116091]"
3023,ENSG00000271594,"[149524787, 149525073]"
3369,ENSG00000116539,"[155305059, 155532598]"
4719,ENSG00000117791,"[220921567, 220958150]"
5004,ENSG00000232175,"[233052981, 233053764]"
946,ENSG00000204138,"[28696114, 28826881]"
1548,ENSG00000230585,"[51246012, 51246822]"
2159,ENSG00000162654,"[89646831, 89664615]"
4853,ENSG00000242757,"[227618227, 227618677]"
3670,ENSG00000254706,"[162335197, 162351905]"
616,ENSG00000270728,"[19623574, 19624397]"
3176,ENSG00000163191,"[152004982, 152020383]"
1395,ENSG00000198520,"[45140364, 45191263]"
630,ENSG00000158748,"[19991780, 20006055]"
955,ENSG00000180098,"[28879597, 28905051]"
194,ENSG00000238260,"[3539754, 3541307]"
909,ENSG00000126709,"[27992572, 27998729]"
2670,ENSG00000237993,"[116556434, 116560326]"
1006,ENSG00000232768,"[31523719, 31523881]"
4893,ENSG00000230841,"[228636864, 228637322]"
3378,ENSG00000225082,"[155556435, 155571988]"
4775,ENSG00000185495,"[224183659, 224198309]"
368,ENSG00000198793,"[11166592, 11322564]"
2274,ENSG00000226835,"[94798823, 94800404]"
4516,ENSG00000243636,"[207352641, 207357407]"
5169,ENSG00000272865,"[242310816, 242372431]"
3169,ENSG00000234614,"[151814353, 151822861]"
3643,ENSG00000273112,"[161482966, 161574889]"
4549,ENSG00000264831,"[209796789, 209796855]"
2365,ENSG00000215871,"[100797360, 100798173]"
4019,ENSG00000243062,"[179699352, 179711832]"
1734,ENSG00000227935,"[57852248, 57853122]"
3352,ENSG00000271748,"[155164968, 155165063]"
216,ENSG00000232596,"[4631608, 4643481]"
1683,ENSG00000237173,"[54990497, 54990604]"
4603,ENSG00000226251,"[212398620, 212412319]"
3125,ENSG00000163157,"[151142462, 151148760]"
3882,ENSG00000233540,"[171833327, 171833827]"
1055,ENSG00000175130,"[32799433, 32801980]"
4920,ENSG00000206878,"[228788183, 228788307]"
2992,ENSG00000242943,"[148864594, 148865175]"
2242,ENSG00000225297,"[93665312, 93665496]"
4619,ENSG00000226036,"[212820638, 212821097]"
4678,ENSG00000225561,"[219086099, 219089526]"
4073,ENSG00000135821,"[182350839, 182361341]"
2445,ENSG00000260879,"[108742548, 108744113]"
1416,ENSG00000229815,"[45424229, 45425067]"
1642,ENSG00000234578,"[53733607, 53734273]"
460,ENSG00000224581,"[13632348, 13635279]"
1550,ENSG00000123080,"[51426417, 51440305]"
4008,ENSG00000162779,"[179334855, 179523870]"
1135,ENSG00000142687,"[35899091, 36023551]"
267,ENSG00000269925,"[7836443, 7836835]"
1650,ENSG00000143006,"[53925072, 53933161]"
1678,ENSG00000198711,"[54703710, 54704736]"
4653,ENSG00000136636,"[215740735, 215795149]"
3093,ENSG00000143420,"[150573327, 150602088]"
4166,ENSG00000271558,"[187475970, 187476251]"
4410,ENSG00000232917,"[203872851, 203873147]"
817,ENSG00000117640,"[26145131, 26159432]"
769,ENSG00000230703,"[24393264, 24410055]"
3774,ENSG00000241666,"[167596622, 167599911]"
1600,ENSG00000272100,"[52819159, 52819549]"
1992,ENSG00000184005,"[76540404, 77100286]"
5120,ENSG00000259776,"[239411108, 239414118]"
2354,ENSG00000156876,"[100549119, 100598511]"
234,ENSG00000173673,"[6304252, 6305638]"
2193,ENSG00000215873,"[91793926, 91795070]"
3594,ENSG00000117091,"[160648536, 160681641]"
1291,ENSG00000179862,"[41326729, 41328018]"
1299,ENSG00000235358,"[41708045, 41750533]"
1,ENSG00000227232,"[14363, 29806]"
3327,ENSG00000163348,"[154929502, 154936329]"
2155,ENSG00000117228,"[89518002, 89531043]"
4331,ENSG00000221028,"[201777739, 201777830]"
2922,ENSG00000143140,"[147228332, 147245484]"
4464,ENSG00000236942,"[205594611, 205595281]"
5152,ENSG00000224348,"[241468880, 241469182]"
210,ENSG00000236423,"[3816936, 3833789]"
671,ENSG00000266867,"[21503059, 21503122]"
2273,ENSG00000236098,"[94784035, 94790125]"
3812,ENSG00000235575,"[169279903, 169291717]"
3693,ENSG00000252740,"[163355655, 163355726]"
438,ENSG00000250113,"[13123246, 13126086]"
3457,ENSG00000237842,"[157029024, 157030554]"
1475,ENSG00000142973,"[47223510, 47285085]"
2197,ENSG00000203914,"[92100568, 92109639]"
2418,ENSG00000225191,"[104469189, 104470428]"
3630,ENSG00000158882,"[161195793, 161200408]"
1419,ENSG00000126107,"[45468212, 45477001]"
3707,ENSG00000201987,"[164823468, 164823569]"
880,ENSG00000224064,"[27310119, 27310515]"
2424,ENSG00000227850,"[106240661, 106240840]"
711,ENSG00000070886,"[22890057, 22930087]"
1335,ENSG00000233708,"[43352268, 43354438]"
3576,ENSG00000228606,"[160231534, 160232568]"
1008,ENSG00000225142,"[31581035, 31581470]"
2471,ENSG00000197780,"[109605108, 109618624]"
3319,ENSG00000160716,"[154540257, 154552502]"
2105,ENSG00000153904,"[85784164, 86043933]"
5093,ENSG00000230325,"[236703394, 236713580]"
5000,ENSG00000225919,"[232853817, 232857996]"
1773,ENSG00000226476,"[61005921, 61106163]"
1426,ENSG00000132781,"[45794835, 45806142]"
1120,ENSG00000271741,"[35447134, 35497342]"
2019,ENSG00000235927,"[78347033, 78355224]"
385,ENSG00000177674,"[11796141, 11814859]"
2247,ENSG00000207379,"[93851268, 93851374]"
4398,ENSG00000188783,"[203444956, 203460480]"
5173,ENSG00000235467,"[242528491, 242529124]"
3530,ENSG00000196266,"[159283460, 159284449]"
4669,ENSG00000201493,"[218303137, 218303294]"
2481,ENSG00000134222,"[109822178, 109825808]"
2930,ENSG00000273059,"[147484031, 147484460]"
1301,ENSG00000204060,"[41827594, 41849262]"
4562,ENSG00000228110,"[210438981, 210440587]"
4322,ENSG00000223396,"[201487831, 201499602]"
1330,ENSG00000228452,"[43241484, 43242461]"
4136,ENSG00000252612,"[185235667, 185235759]"
1399,ENSG00000225721,"[45224709, 45241482]"
3522,ENSG00000233473,"[159050923, 159051585]"
4296,ENSG00000118193,"[200520628, 200589862]"
4880,ENSG00000203684,"[228351787, 228353213]"
5005,ENSG00000135778,"[233086351, 233119628]"
3475,ENSG00000163534,"[157764193, 157789895]"
1420,ENSG00000126088,"[45477819, 45481247]"
2461,ENSG00000228076,"[109309463, 109310206]"
1702,ENSG00000169174,"[55505221, 55530525]"
2550,ENSG00000134255,"[111682249, 111727724]"
2728,ENSG00000227056,"[119761937, 119762719]"
5114,ENSG00000252371,"[238488987, 238489088]"
3458,ENSG00000224520,"[157043049, 157044495]"
1231,ENSG00000270040,"[39672184, 39672629]"
2338,ENSG00000224445,"[99937971, 99999571]"
4221,ENSG00000023572,"[193065598, 193075244]"
2084,ENSG00000240520,"[84831111, 84863514]"
396,ENSG00000116685,"[11979648, 11986485]"
5361,ENSG00000200495,"[249206889, 249206994]"
4671,ENSG00000229016,"[218474604, 218475314]"
4987,ENSG00000233461,"[231658134, 231664302]"
1837,ENSG00000264470,"[65045530, 65045606]"
2463,ENSG00000203897,"[109399839, 109401146]"
1546,ENSG00000207194,"[51048076, 51048183]"
1535,ENSG00000230828,"[50580609, 50580954]"
3162,ENSG00000182134,"[151742583, 151763892]"
2505,ENSG00000134202,"[110276554, 110284384]"
4629,ENSG00000236317,"[213028517, 213028708]"
1807,ENSG00000229537,"[63466168, 63478142]"
4667,ENSG00000230714,"[218205177, 218207002]"
613,ENSG00000053372,"[19578033, 19586622]"
290,ENSG00000234619,"[8810489, 8811146]"
4755,ENSG00000234523,"[223119067, 223119242]"
1924,ENSG00000197568,"[70820488, 70851022]"
990,ENSG00000236335,"[30882407, 30884485]"
1729,ENSG00000157131,"[57320479, 57383894]"
4674,ENSG00000092969,"[218519577, 218617961]"
2949,ENSG00000244252,"[147767899, 147769378]"
5126,ENSG00000215805,"[240136087, 240137545]"
4295,ENSG00000230623,"[200443048, 200447421]"
1666,ENSG00000203276,"[54498816, 54500553]"
2794,ENSG00000230255,"[142791488, 142792556]"
2045,ENSG00000260322,"[80580628, 80582603]"
5130,ENSG00000202041,"[240317951, 240318072]"
3949,ENSG00000260990,"[175276354, 175304595]"
1352,ENSG00000066322,"[43829068, 43833696]"
650,ENSG00000162545,"[20808884, 20812713]"
1501,ENSG00000221346,"[47968176, 47968311]"
1559,ENSG00000123091,"[51701943, 51739127]"
1331,ENSG00000177868,"[43272723, 43282954]"
4448,ENSG00000133059,"[205111632, 205180727]"
1958,ENSG00000254685,"[74663896, 74699770]"
3041,ENSG00000226500,"[149725851, 149726260]"
1897,ENSG00000228431,"[68515043, 68515428]"
4829,ENSG00000183814,"[226418850, 226497570]"
730,ENSG00000252578,"[23490446, 23490546]"
2165,ENSG00000215874,"[89859592, 89860224]"
4777,ENSG00000269358,"[224215760, 224216371]"
345,ENSG00000142657,"[10458649, 10480201]"
1313,ENSG00000198815,"[42642210, 42801548]"
2946,ENSG00000228626,"[147760107, 147761057]"
5051,ENSG00000232686,"[235333435, 235334206]"
3014,ENSG00000253193,"[149369294, 149378365]"
4542,ENSG00000225712,"[209441143, 209441568]"
3769,ENSG00000233411,"[167426620, 167427898]"
2457,ENSG00000134186,"[109234945, 109244425]"
2857,ENSG00000272709,"[145200338, 145200891]"
4500,ENSG00000142224,"[206972215, 207016324]"
1333,ENSG00000228192,"[43300352, 43312093]"
3495,ENSG00000173285,"[158435272, 158436344]"
4702,ENSG00000270708,"[220393633, 220393935]"
3204,ENSG00000187170,"[152680636, 152681967]"
913,ENSG00000207095,"[28020242, 28020346]"
2938,ENSG00000269647,"[147631967, 147632428]"
794,ENSG00000233419,"[25451544, 25451945]"
960,ENSG00000229388,"[28969740, 28975093]"
4445,ENSG00000117222,"[205055270, 205091143]"
392,ENSG00000120937,"[11917521, 11918988]"
5072,ENSG00000143669,"[235824341, 236046940]"
268,ENSG00000049246,"[7844380, 7905237]"
2233,ENSG00000239710,"[93440386, 93440680]"
342,ENSG00000199562,"[10359024, 10359130]"
4630,ENSG00000162769,"[213031597, 213072705]"
1687,ENSG00000162391,"[55074855, 55089229]"
4219,ENSG00000116747,"[193028552, 193060907]"
4690,ENSG00000221673,"[220136028, 220136206]"
4309,ENSG00000232237,"[201083081, 201096312]"
702,ENSG00000070831,"[22379120, 22419437]"
4262,ENSG00000232824,"[198166909, 198167316]"
1077,ENSG00000121900,"[33360195, 33367039]"
3301,ENSG00000201129,"[154232203, 154232338]"
1989,ENSG00000154007,"[76384558, 76398116]"
4325,ENSG00000134369,"[201592411, 201796102]"
893,ENSG00000186501,"[27648651, 27662891]"
695,ENSG00000201919,"[22314309, 22314412]"
2722,ENSG00000239216,"[119543241, 119544028]"
2886,ENSG00000234245,"[145952372, 145956451]"
2645,ENSG00000213281,"[115247090, 115259515]"
3210,ENSG00000186226,"[152758690, 152760902]"
2606,ENSG00000224167,"[113392650, 113420493]"
1926,ENSG00000116761,"[70876901, 70905534]"
5235,ENSG00000230184,"[246484965, 246485740]"
3140,ENSG00000238711,"[151411476, 151411571]"
1525,ENSG00000229846,"[49513988, 49653257]"
443,ENSG00000179412,"[13182960, 13184326]"
2304,ENSG00000221798,"[96352096, 96352182]"
2703,ENSG00000134258,"[117686209, 117753556]"
2078,ENSG00000142875,"[84543745, 84704181]"
3828,ENSG00000075945,"[169890467, 170054349]"
3329,ENSG00000160691,"[154934774, 154946871]"
2578,ENSG00000197852,"[112223252, 112298446]"
5163,ENSG00000213026,"[242156487, 242156984]"
430,ENSG00000204510,"[12976450, 12980569]"
1195,ENSG00000185090,"[38259474, 38266809]"
3638,ENSG00000273075,"[161344552, 161345130]"
5347,ENSG00000177151,"[248801588, 248802559]"
495,ENSG00000272510,"[15892106, 15892451]"
1437,ENSG00000159588,"[46085716, 46089729]"
5350,ENSG00000229703,"[248855492, 248862411]"
3187,ENSG00000143520,"[152321211, 152332482]"
2112,ENSG00000117174,"[86115106, 86174116]"
2157,ENSG00000162645,"[89571815, 89616139]"
3788,ENSG00000213064,"[168195176, 168222263]"
3960,ENSG00000253025,"[176212998, 176213165]"
4610,ENSG00000065600,"[212537273, 212588243]"
1268,ENSG00000231296,"[40728344, 40728656]"
4284,ENSG00000202491,"[199977633, 199977735]"
5091,ENSG00000223776,"[236686369, 236687808]"
5294,ENSG00000153230,"[247901917, 247902861]"
54,ENSG00000177757,"[752751, 755214]"
2361,ENSG00000230287,"[100714646, 100714873]"
2742,ENSG00000226443,"[120076372, 120077369]"
3751,ENSG00000232223,"[166765503, 166766420]"
4396,ENSG00000229652,"[203322493, 203322779]"
4249,ENSG00000134376,"[197170592, 197447585]"
3810,ENSG00000143153,"[169074935, 169101960]"
4455,ENSG00000226235,"[205342380, 205356568]"
632,ENSG00000178828,"[20140523, 20141771]"
577,ENSG00000117118,"[17345217, 17380665]"
2768,ENSG00000234998,"[120906609, 120935761]"
2075,ENSG00000233061,"[84444801, 84449983]"
4754,ENSG00000239054,"[223085186, 223085289]"
787,ENSG00000169504,"[25071848, 25170815]"
1080,ENSG00000267885,"[33439268, 33439642]"
3248,ENSG00000143556,"[153430220, 153433177]"
233,ENSG00000225077,"[6296300, 6299504]"
2228,ENSG00000207523,"[93306276, 93306408]"
3444,ENSG00000143319,"[156691683, 156698591]"
3071,ENSG00000222222,"[150209315, 150209504]"
1947,ENSG00000227207,"[72767155, 72767512]"
4566,ENSG00000270936,"[210635689, 210636356]"
4938,ENSG00000143632,"[229566992, 229569845]"
2185,ENSG00000233593,"[91248543, 91317207]"
784,ENSG00000239106,"[24951902, 24952004]"
4781,ENSG00000236773,"[224363178, 224363408]"
5100,ENSG00000198626,"[237205505, 237997288]"
3814,ENSG00000117477,"[169364108, 169429907]"
1675,ENSG00000215883,"[54638009, 54665709]"
785,ENSG00000133226,"[24958207, 24999758]"
524,ENSG00000173641,"[16340523, 16346089]"
714,ENSG00000173369,"[22979255, 22988031]"
4849,ENSG00000228729,"[227421970, 227423056]"
686,ENSG00000076864,"[21922708, 21995801]"
4538,ENSG00000236950,"[209145799, 209148652]"
4207,ENSG00000236069,"[192498709, 192507232]"
500,ENSG00000236500,"[15941138, 15941362]"
2387,ENSG00000225938,"[101701239, 101702084]"
1621,ENSG00000231866,"[53390921, 53391095]"
5223,ENSG00000201170,"[245297229, 245297392]"
5325,ENSG00000177212,"[248436073, 248437138]"
857,ENSG00000198830,"[26798941, 26802463]"
3415,ENSG00000198715,"[156259880, 156265463]"
2000,ENSG00000221720,"[77473429, 77473500]"
292,ENSG00000222511,"[8856633, 8856731]"
2316,ENSG00000212039,"[97368255, 97368348]"
561,ENSG00000268991,"[17060447, 17060956]"
5107,ENSG00000270188,"[238107024, 238108575]"
2753,ENSG00000215864,"[120377388, 120387779]"
1682,ENSG00000235741,"[54982085, 54982932]"
93,ENSG00000260179,"[1185157, 1186714]"
2423,ENSG00000230768,"[106130197, 106161580]"
2223,ENSG00000234202,"[93214732, 93214887]"
661,ENSG00000189410,"[21046225, 21059330]"
3944,ENSG00000181101,"[175013762, 175014784]"
1061,ENSG00000270850,"[32887580, 32887920]"
3675,ENSG00000152332,"[162467041, 162499419]"
4969,ENSG00000240502,"[231029887, 231030173]"
3624,ENSG00000158850,"[161141100, 161147287]"
4536,ENSG00000227887,"[208870714, 208871043]"
1417,ENSG00000232369,"[45453906, 45454397]"
279,ENSG00000200975,"[8266494, 8266657]"
4924,ENSG00000271399,"[228993757, 228994303]"
1703,ENSG00000162402,"[55532032, 55680786]"
4943,ENSG00000199672,"[229670811, 229670936]"
657,ENSG00000257033,"[20976856, 20977207]"
1438,ENSG00000159592,"[46092976, 46153785]"
4085,ENSG00000271269,"[182702927, 182703914]"
1822,ENSG00000203965,"[63989043, 64038364]"
5092,ENSG00000273058,"[236699473, 236700004]"
4316,ENSG00000159173,"[201373625, 201398994]"
5098,ENSG00000237991,"[237144637, 237145008]"
2842,ENSG00000215861,"[144676874, 144679969]"
4350,ENSG00000243323,"[202137179, 202158583]"
389,ENSG00000011021,"[11866207, 11903201]"
101,ENSG00000224051,"[1260136, 1264277]"
861,ENSG00000243905,"[26919737, 26920037]"
4287,ENSG00000252860,"[200023189, 200023293]"
4986,ENSG00000223982,"[231611702, 231612034]"
3244,ENSG00000224784,"[153369067, 153369247]"
938,ENSG00000126698,"[28525967, 28559536]"
2459,ENSG00000232971,"[109276878, 109277347]"
4371,ENSG00000234996,"[202830882, 202844369]"
3669,ENSG00000207729,"[162312336, 162312430]"
2633,ENSG00000134207,"[114631913, 114696541]"
6,ENSG00000186092,"[69091, 70008]"
1063,ENSG00000263529,"[32923436, 32923733]"
2183,ENSG00000199666,"[91123307, 91123520]"
2303,ENSG00000271252,"[96208652, 96225026]"
482,ENSG00000204464,"[15490840, 15497813]"
3484,ENSG00000229914,"[158165423, 158165921]"
1103,ENSG00000231163,"[34334554, 34351059]"
224,ENSG00000131697,"[5922871, 6052533]"
959,ENSG00000188060,"[28918712, 28921955]"
1523,ENSG00000186094,"[48998527, 50489585]"
1637,ENSG00000259818,"[53686335, 53689925]"
2581,ENSG00000171385,"[112313284, 112531777]"
1227,ENSG00000168653,"[39491990, 39500308]"
436,ENSG00000239810,"[13052394, 13052998]"
4746,ENSG00000229399,"[222814756, 222815200]"
4868,ENSG00000143816,"[228106357, 228135599]"
2764,ENSG00000227193,"[120876495, 120905159]"
1043,ENSG00000084652,"[32645287, 32663886]"
1358,ENSG00000229348,"[43919598, 43922666]"
1561,ENSG00000236434,"[51730588, 51731746]"
2839,ENSG00000201699,"[144534038, 144534199]"
2565,ENSG00000260948,"[111973668, 111975690]"
602,ENSG00000179002,"[19166093, 19186176]"
2179,ENSG00000228175,"[90459152, 90459880]"
4637,ENSG00000228255,"[213904759, 213967930]"
2430,ENSG00000270342,"[107086964, 107087366]"
3196,ENSG00000187238,"[152586287, 152586574]"
4045,ENSG00000266825,"[180797031, 180797128]"
1338,ENSG00000117394,"[43391052, 43424530]"
3844,ENSG00000235303,"[170567995, 170616480]"
5153,ENSG00000225554,"[241587592, 241596792]"
2246,ENSG00000229635,"[93850044, 93850555]"
3307,ENSG00000143515,"[154298029, 154323783]"
3469,ENSG00000233712,"[157606090, 157610091]"
2132,ENSG00000267561,"[87458692, 87634884]"
2684,ENSG00000264419,"[117102646, 117102733]"
548,ENSG00000233421,"[16860381, 16862144]"
3485,ENSG00000176320,"[158167712, 158173667]"
2925,ENSG00000223728,"[147313096, 147314493]"
4590,ENSG00000226868,"[211889270, 211898744]"
3446,ENSG00000143314,"[156707095, 156711382]"
1851,ENSG00000162433,"[65613232, 65697828]"
1956,ENSG00000252005,"[74349396, 74349505]"
2334,ENSG00000232825,"[99469832, 99614408]"
4021,ENSG00000229407,"[179785319, 179787326]"
5177,ENSG00000270818,"[243045368, 243046777]"
1848,ENSG00000231485,"[65532310, 65533420]"
1573,ENSG00000232846,"[52174734, 52175612]"
4377,ENSG00000159346,"[202909951, 202927700]"
4355,ENSG00000077157,"[202317827, 202561834]"
464,ENSG00000204479,"[13716092, 13719089]"
2479,ENSG00000031698,"[109756540, 109780791]"
2243,ENSG00000223745,"[93727743, 93811582]"
725,ENSG00000263793,"[23370798, 23370865]"
3933,ENSG00000203737,"[174417212, 174418683]"
1919,ENSG00000066557,"[70610488, 70671303]"
940,ENSG00000269804,"[28527070, 28527419]"
395,ENSG00000201801,"[11969865, 11969984]"
231,ENSG00000158286,"[6265535, 6281359]"
4766,ENSG00000162909,"[223889295, 223963720]"
3126,ENSG00000163159,"[151142463, 151167797]"
3686,ENSG00000117152,"[163038565, 163046592]"
3573,ENSG00000265381,"[160175167, 160175254]"
1909,ENSG00000234264,"[68962359, 69004310]"
5198,ENSG00000179456,"[244214585, 244220778]"
1143,ENSG00000092853,"[36185819, 36235568]"
1035,ENSG00000212673,"[32379174, 32380745]"
2118,ENSG00000137975,"[86889769, 86922241]"
1652,ENSG00000239007,"[54154422, 54154485]"
4591,ENSG00000123684,"[211916799, 212004114]"
3147,ENSG00000250734,"[151584514, 151585839]"
2947,ENSG00000231196,"[147762996, 147767966]"
5298,ENSG00000232908,"[247990788, 247991804]"
3344,ENSG00000169241,"[155107820, 155111329]"
2040,ENSG00000230787,"[79520630, 79521740]"
1815,ENSG00000223683,"[63727784, 63728378]"
1745,ENSG00000264128,"[59031301, 59031604]"
3917,ENSG00000270084,"[173832386, 173833079]"
4144,ENSG00000207108,"[185599560, 185599660]"
3467,ENSG00000163518,"[157543539, 157567870]"
2394,ENSG00000252530,"[102194198, 102194293]"
773,ENSG00000221032,"[24554407, 24554520]"
2399,ENSG00000162699,"[102358661, 102359603]"
5089,ENSG00000244457,"[236646465, 236647768]"
4380,ENSG00000231547,"[202968866, 202969480]"
4738,ENSG00000227613,"[222435175, 222436138]"
3936,ENSG00000237249,"[174861554, 174862292]"
3077,ENSG00000159208,"[150254953, 150259505]"
201,ENSG00000162592,"[3668962, 3688209]"
4370,ENSG00000214796,"[202820956, 202830748]"
3121,ENSG00000143434,"[151104161, 151119104]"
1476,ENSG00000154198,"[47308767, 47366109]"
5087,ENSG00000252638,"[236464280, 236464351]"
3930,ENSG00000238872,"[174169267, 174169368]"
4926,ENSG00000236975,"[229228562, 229230652]"
416,ENSG00000204518,"[12704566, 12727097]"
4259,ENSG00000203724,"[197871777, 197876497]"
5214,ENSG00000153187,"[245014468, 245027844]"
5034,ENSG00000272362,"[234780412, 234783317]"
4721,ENSG00000221571,"[220998962, 220999389]"
2472,ENSG00000273382,"[109630593, 109633480]"
790,ENSG00000229162,"[25287836, 25289588]"
4286,ENSG00000116833,"[199996730, 200146552]"
3986,ENSG00000201347,"[178530048, 178530164]"
1520,ENSG00000235105,"[48901639, 48902895]"
338,ENSG00000233623,"[10118729, 10119706]"
260,ENSG00000237402,"[7429003, 7430331]"
3516,ENSG00000163563,"[158801107, 158819296]"
719,ENSG00000264014,"[23189652, 23189719]"
3477,ENSG00000227425,"[157830987, 157831250]"
568,ENSG00000263811,"[17185444, 17185516]"
5186,ENSG00000227230,"[243299200, 243303890]"
3006,ENSG00000242352,"[149261186, 149263729]"
5314,ENSG00000197454,"[248185250, 248186188]"
376,ENSG00000238199,"[11338673, 11339408]"
2738,ENSG00000235595,"[120004652, 120005644]"
2106,ENSG00000199459,"[85900858, 85900967]"
2382,ENSG00000235795,"[101461029, 101461816]"
605,ENSG00000265606,"[19209696, 19209769]"
4178,ENSG00000231022,"[188663451, 188664242]"
3340,ENSG00000251246,"[155036224, 155059283]"
4902,ENSG00000199352,"[228746015, 228746133]"
3756,ENSG00000143195,"[166882443, 166944719]"
302,ENSG00000232663,"[8969801, 8969963]"
1075,ENSG00000160097,"[33327869, 33338083]"
4586,ENSG00000222080,"[211826798, 211826891]"
4804,ENSG00000234476,"[225634945, 225653045]"
232,ENSG00000116237,"[6281253, 6296032]"
1988,ENSG00000266832,"[76308317, 76308402]"
2685,ENSG00000143061,"[117117031, 117210375]"
362,ENSG00000009724,"[11086580, 11107290]"
3355,ENSG00000173171,"[155178490, 155183615]"
1565,ENSG00000232027,"[51837942, 51838896]"
2043,ENSG00000232676,"[79986765, 79987888]"
5200,ENSG00000229960,"[244232122, 244256328]"
125,ENSG00000228594,"[1533392, 1535476]"
1881,ENSG00000252116,"[67733284, 67733409]"
5359,ENSG00000227237,"[249153363, 249158995]"
3001,ENSG00000207349,"[149194106, 149194269]"
953,ENSG00000238821,"[28843988, 28844087]"
481,ENSG00000171729,"[15479028, 15546976]"
2754,ENSG00000227205,"[120395939, 120396371]"
4320,ENSG00000159176,"[201452658, 201478584]"
3274,ENSG00000207039,"[153758196, 153758297]"
710,ENSG00000237200,"[22843967, 22846201]"
5275,ENSG00000202079,"[247458137, 247458243]"
3507,ENSG00000196171,"[158669369, 158670486]"
2890,ENSG00000232637,"[146032648, 146253110]"
